StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1,skiing_1,podcast_1,driving_1,cook_at_home_1,dairy_products_1,go_to_gym_1,drink_coffee_1,gender,age,politics,zip,attention_check,Q11,MTurkCode
2018-10-05 11:40:46,2018-10-05 11:42:13,IP Address,69.250.139.23,100,86,True,2018-10-05 11:42:13,R_vTzyfvMJK8lgstr,,,,,39.3401947021484375,-76.4026031494140625,anonymous,EN,55,45,15,50,10,30,20,20,40,35,70,80,90,60,60,Male,39,Republican,21220,"drink coffee,cook at home,go to the gym,drive to work",,83035935
2018-10-05 11:41:08,2018-10-05 11:42:17,IP Address,134.29.12.212,100,68,True,2018-10-05 11:42:17,R_vqT81xkVURL2bLj,,,,,44.13079833984375,-94,anonymous,EN,59,27,15,91,26,25,38,6,13,38,86,63,89,42,75,Female,29,Democrat,56001,"drink coffee,cook at home,go to the gym,drive to work",thanks,44643042
2018-10-05 11:40:31,2018-10-05 11:42:18,IP Address,24.107.85.75,100,107,True,2018-10-05 11:42:19,R_1LS6A5ZkvEbXThk,,,,,38.564697265625,-90.53569793701171875,anonymous,EN,37,47,76,96,38,11,7,30,32,62,65,51,82,44,81,Female,36,Democrat,63025,"drink coffee,cook at home,go to the gym,drive to work",,17178353
2018-10-05 11:40:45,2018-10-05 11:42:19,IP Address,173.20.61.112,100,93,True,2018-10-05 11:42:19,R_1CjRMfas3tN7Zlo,,,,,30.4467010498046875,-86.875,anonymous,EN,51,42,53,89,8,25,4,10,11,26,80,53,85,19,66,Female,32,Democrat,32566,"drink coffee,cook at home,go to the gym,drive to work",,60226870
2018-10-05 11:40:35,2018-10-05 11:42:24,IP Address,159.39.62.209,100,109,True,2018-10-05 11:42:24,R_rrxpyBJJkdFjtNT,,,,,30.447998046875,-91.128997802734375,anonymous,EN,45,67,61,95,6,10,20,15,40,70,80,70,45,33,60,Male,27,Independent,70808,"watch TV,read newspapers,go to the movies,go to bars",,42623592
2018-10-05 11:40:32,2018-10-05 11:42:27,IP Address,73.247.42.77,100,115,True,2018-10-05 11:42:28,R_3Egoibdb5zOlPZQ,,,,,42.3412017822265625,-88.11370086669921875,anonymous,EN,55,35,20,75,10,25,15,5,25,20,95,60,80,10,50,Male,32,Democrat,60051,"drink coffee,cook at home,go to the gym,drive to work",,72553744
2018-10-05 11:40:43,2018-10-05 11:42:28,IP Address,47.183.200.198,100,105,True,2018-10-05 11:42:29,R_6FFRKOSfjlnGLVn,,,,,33.0944976806640625,-97.311798095703125,anonymous,EN,60,33,52,75,48,15,15,9,36,32,54,65,87,26,69,Female,26,Democrat,12208,"drink coffee,cook at home,go to the gym,drive to work",,56234212
2018-10-05 11:40:43,2018-10-05 11:42:30,IP Address,97.126.107.25,100,107,True,2018-10-05 11:42:30,R_2VrNzEISyxISw2W,,,,,47.673797607421875,-122.3419036865234375,anonymous,EN,40,35,30,60,12,33,25,15,18,10,65,40,85,21,55,Male,30,Independent,98133,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,38313896
2018-10-05 11:40:46,2018-10-05 11:42:31,IP Address,68.119.43.1,100,104,True,2018-10-05 11:42:31,R_1FR6rXFMEieEyyv,,,,,35.7666015625,-81.33550262451171875,anonymous,EN,27,14,51,64,29,34,4,20,29,17,58,38,76,14,71,Female,41,Democrat,28645,"drink coffee,cook at home,go to the gym,drive to work",,22908271
2018-10-05 11:40:34,2018-10-05 11:42:31,IP Address,68.35.50.136,100,117,True,2018-10-05 11:42:32,R_1JCvMbCJMKCUK7T,,,,,34.8737030029296875,-87.80899810791015625,anonymous,EN,42,35,30,73,15,25,43,20,27,55,63,38,79,23,78,Male,37,Democrat,35661,"drink coffee,cook at home,go to the gym,drive to work",,11715541
2018-10-05 11:40:39,2018-10-05 11:42:33,IP Address,71.71.214.155,100,113,True,2018-10-05 11:42:33,R_uf9zelLh6cDYxUZ,,,,,35.2180023193359375,-80.78589630126953125,anonymous,EN,60,50,30,80,40,50,55,40,25,35,65,90,65,50,45,Male,33,Democrat,28205,"drink coffee,cook at home,go to the gym,drive to work",,36477969
2018-10-05 11:41:00,2018-10-05 11:42:33,IP Address,184.90.247.11,100,93,True,2018-10-05 11:42:34,R_1dgdcy7BHIPOFJM,,,,,28.5225067138671875,-81.48349761962890625,anonymous,EN,47,39,53,91,1,15,8,1,30,40,70,63,89,34,77,Male,29,Republican,32835,"drink coffee,cook at home,go to the gym,drive to work",,92840460
2018-10-05 11:41:23,2018-10-05 11:42:38,IP Address,76.180.67.64,100,74,True,2018-10-05 11:42:38,R_2ZWzXXL9KeQoza7,,,,,42.9264068603515625,-78.74790191650390625,anonymous,EN,65,27,38,93,11,38,11,16,33,49,82,42,91,19,83,Male,29,Democrat,14225,"watch TV,read newspapers,go to the movies,go to bars",,94755806
2018-10-05 11:40:38,2018-10-05 11:42:39,IP Address,98.156.69.35,100,120,True,2018-10-05 11:42:39,R_WjNT20xUaMSIz5v,,,,,39.018402099609375,-94.7089996337890625,anonymous,EN,51,44,21,68,6,26,14,13,15,24,77,33,71,6,55,Female,38,Democrat,66203,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,41447037
2018-10-05 11:40:47,2018-10-05 11:42:44,IP Address,70.117.247.74,100,116,True,2018-10-05 11:42:44,R_29g35i8QRAeu4GC,,,,,26.0717010498046875,-97.47640228271484375,anonymous,EN,50,31,17,86,8,18,8,4,9,32,91,65,77,15,95,Male,47,Other,78566,"drink coffee,cook at home,go to the gym,drive to work",,42470374
2018-10-05 11:40:49,2018-10-05 11:42:44,IP Address,174.206.4.252,100,114,True,2018-10-05 11:42:44,R_2ZWx5hoCy4Klo6u,,,,,32.301605224609375,-95.395599365234375,anonymous,EN,53,44,27,89,15,31,12,28,26,29,85,42,75,50,63,Female,36,Democrat,76302,"drink coffee,cook at home,go to the gym,drive to work",,88792540
2018-10-05 11:40:49,2018-10-05 11:42:45,IP Address,170.115.248.23,100,116,True,2018-10-05 11:42:46,R_2E3MKofmPsVg32N,,,,,40.0325927734375,-75.1157989501953125,anonymous,EN,55,37,26,80,12,17,36,6,47,24,51,48,70,41,62,Male,28,Independent,19106,"drink coffee,cook at home,go to the gym,drive to work,watch TV",,57264067
2018-10-05 11:40:29,2018-10-05 11:42:47,IP Address,74.194.110.112,100,137,True,2018-10-05 11:42:47,R_2X0a1xZwpet5DdU,,,,,35.7881011962890625,-91.6457977294921875,anonymous,EN,60,55,23,56,18,39,13,26,39,22,72,79,80,51,66,Male,40,Democrat,72501,"drink coffee,cook at home,go to the gym,drive to work",,38588359
2018-10-05 11:40:46,2018-10-05 11:42:49,IP Address,73.173.103.253,100,122,True,2018-10-05 11:42:49,R_3JEE1EAni5Qw5pm,,,,,39.2042999267578125,-76.88330078125,anonymous,EN,50,50,21,60,3,9,33,10,9,30,90,65,85,25,81,Male,24,Democrat,21042,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,87191260
2018-10-05 11:40:32,2018-10-05 11:42:49,IP Address,68.0.123.152,100,137,True,2018-10-05 11:42:50,R_1kUHJhUKaPNvAnz,,,,,36.146697998046875,-95.95549774169921875,anonymous,EN,75,33,22,43,20,19,13,16,8,25,75,58,85,21,70,Female,44,Democrat,74120,"drink coffee,cook at home,go to the gym,drive to work",,62383307
2018-10-05 11:40:40,2018-10-05 11:42:50,IP Address,68.47.41.174,100,129,True,2018-10-05 11:42:50,R_2w6onZFkmnXtjtd,,,,,44.972900390625,-93.28730010986328125,anonymous,EN,71,79,100,92,48,57,77,18,37,39,64,75,60,74,77,Female,28,Democrat,55403,"drink coffee,cook at home,go to the gym,drive to work",,97186370
2018-10-05 11:40:30,2018-10-05 11:42:53,IP Address,71.193.158.42,100,143,True,2018-10-05 11:42:53,R_2z71pPZjcxQuQkk,,,,,45.7277069091796875,-122.614105224609375,anonymous,EN,50,30,30,60,20,14,10,25,75,30,80,85,75,25,65,Male,39,Democrat,98683,"drink coffee,cook at home,go to the gym,drive to work",,85591836
2018-10-05 11:41:34,2018-10-05 11:42:54,IP Address,173.90.134.106,100,80,True,2018-10-05 11:42:54,R_2R2PRgUZ2dxzMKf,,,,,41.1537017822265625,-81.63739776611328125,anonymous,EN,28,16,38,32,9,19,52,14,55,47,29,15,49,30,19,Male,24,Republican,44286,"go to the gym,watch TV",,30315716
2018-10-05 11:40:51,2018-10-05 11:42:56,IP Address,75.191.242.86,100,124,True,2018-10-05 11:42:56,R_2AKaKDryEMdn8Bt,,,,,36.0074005126953125,-79.873199462890625,anonymous,EN,59,24,47,93,29,18,24,28,37,67,80,68,90,37,93,Male,35,Independent,27403,"drink coffee,cook at home,go to the gym,drive to work",,33472613
2018-10-05 11:40:36,2018-10-05 11:42:56,IP Address,72.198.74.135,100,140,True,2018-10-05 11:42:56,R_2Sw5965lpuOZjXi,,,,,35.515106201171875,-97.5740966796875,anonymous,EN,25,30,4,65,30,20,41,5,5,33,31,44,68,20,49,Male,57,Democrat,73112,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,60250080
2018-10-05 11:40:51,2018-10-05 11:42:57,IP Address,73.197.123.244,100,126,True,2018-10-05 11:42:57,R_3mlWGFknQKLcWcH,,,,,39.77960205078125,-75.05049896240234375,anonymous,EN,62,30,43,70,16,17,13,27,23,42,66,48,87,36,72,Male,29,Independent,08081,"drink coffee,cook at home,go to the gym,drive to work",,49117266
2018-10-05 11:40:32,2018-10-05 11:43:01,IP Address,24.154.43.118,100,148,True,2018-10-05 11:43:01,R_WeTTsJcE8CePpLj,,,,,39.6717071533203125,-76.05460357666015625,anonymous,EN,62,62,38,56,20,20,15,25,59,38,80,75,95,51,69,Female,39,Republican,21911,"drink coffee,cook at home,go to the gym,drive to work",thanks,98678534
2018-10-05 11:40:25,2018-10-05 11:43:04,IP Address,107.172.168.133,100,159,True,2018-10-05 11:43:04,R_3M5SK884bOxsISO,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,83,76,80,68,63,58,61,80,69,91,61,79,72,82,83,Female,28,Republican,10011,"drink coffee,go to the gym",,72023530
2018-10-05 11:40:42,2018-10-05 11:43:08,IP Address,205.197.219.74,100,145,True,2018-10-05 11:43:09,R_31GAKJmSBTdYsNg,,,,,39.9976043701171875,-111.81420135498046875,anonymous,EN,41,55,30,70,24,15,24,19,20,54,70,60,75,21,36,Female,35,Republican,84655,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,68237067
2018-10-05 11:41:04,2018-10-05 11:43:10,IP Address,73.85.107.214,100,126,True,2018-10-05 11:43:11,R_C9SDAJo8SHAkM7L,,,,,25.5973968505859375,-80.40309906005859375,anonymous,EN,34,38,27,65,33,36,4,12,21,60,65,67,68,47,68,Male,26,Democrat,33186,"drink coffee,cook at home,go to the gym,drive to work",,84583955
2018-10-05 11:41:01,2018-10-05 11:43:11,IP Address,107.223.28.240,100,130,True,2018-10-05 11:43:11,R_ZIz0gQrs9VT1ylX,,,,,36.064300537109375,-87.43019866943359375,anonymous,EN,61,21,56,81,18,30,5,8,19,16,70,27,87,13,82,Other/Non-conforming,26,Democrat,37055,"drink coffee,cook at home,go to the gym,drive to work",,69511851
2018-10-05 11:40:28,2018-10-05 11:43:11,IP Address,208.107.114.192,100,163,True,2018-10-05 11:43:11,R_1OxXrWSxSF1Jayt,,,,,44.0260009765625,-103.07550048828125,anonymous,EN,43,60,56,83,32,41,20,38,41,43,79,63,84,68,67,Male,46,Independent,57701,"drink coffee,cook at home,go to the gym,drive to work",,68585140
2018-10-05 11:40:58,2018-10-05 11:43:13,IP Address,67.51.218.132,100,135,True,2018-10-05 11:43:14,R_1d5ACAW3dRsWMtY,,,,,47.390899658203125,-122.263702392578125,anonymous,EN,50,30,35,80,10,35,10,10,35,25,90,90,80,25,80,Male,40,Independent,98271,"drink coffee,cook at home,go to the gym,drive to work",,79789435
2018-10-05 11:40:48,2018-10-05 11:43:14,IP Address,65.196.142.38,100,145,True,2018-10-05 11:43:14,R_2uTH4M2CBzavmLG,,,,,30.279296875,-81.5850982666015625,anonymous,EN,57,56,19,78,7,13,7,12,25,26,85,50,86,31,60,Male,50,Independent,32225,"drink coffee,cook at home,go to the gym,drive to work",,64058262
2018-10-05 11:41:05,2018-10-05 11:43:15,IP Address,75.165.11.175,100,129,True,2018-10-05 11:43:15,R_3EGy5sHGZfMIoZS,,,,,40.3159942626953125,-77.32689666748046875,anonymous,EN,35,75,38,76,12,32,34,20,44,30,89,65,95,60,77,Female,37,Republican,17011,"drink coffee,cook at home,go to the gym,drive to work",,10501027
2018-10-05 11:40:41,2018-10-05 11:43:15,IP Address,71.211.188.165,100,154,True,2018-10-05 11:43:15,R_Om9dy0v0rTCGNQl,,,,,39.9535064697265625,-104.90509796142578125,anonymous,EN,75,75,55,75,30,25,25,35,40,30,95,85,70,60,80,Male,20,Republican,80027,"drink coffee,cook at home,go to the gym,drive to work",,78841231
2018-10-05 11:40:52,2018-10-05 11:43:15,IP Address,67.87.235.26,100,143,True,2018-10-05 11:43:15,R_3OeTorX4kEmQJID,,,,,40.83929443359375,-73.27970123291015625,anonymous,EN,50,30,30,75,20,20,10,10,15,65,60,60,70,70,85,Female,34,Democrat,11725,"drink coffee,cook at home,go to the gym,drive to work",,78636079
2018-10-05 11:40:46,2018-10-05 11:43:15,IP Address,47.154.2.212,100,149,True,2018-10-05 11:43:16,R_po8Ucxpzsukgzuh,,,,,33.747406005859375,-117.993896484375,anonymous,EN,51,72,23,68,18,32,40,24,25,75,89,77,62,32,82,Male,39,Democrat,92683,"drink coffee,cook at home,go to the gym,drive to work",,22382906
2018-10-05 11:40:54,2018-10-05 11:43:16,IP Address,173.22.6.76,100,142,True,2018-10-05 11:43:16,R_24iv1mCphBVvwjm,,,,,44.3341064453125,-94.06169891357421875,anonymous,EN,50,45,30,60,10,13,20,20,60,20,70,85,90,15,45,Male,44,Independent,56082,"drink coffee,cook at home,go to the gym,drive to work",,29025044
2018-10-05 11:41:10,2018-10-05 11:43:20,IP Address,173.49.100.58,100,129,True,2018-10-05 11:43:20,R_25zuQ5CsE9PPGnS,,,,,40.326507568359375,-75.36969757080078125,anonymous,EN,33,26,32,50,11,6,14,7,51,50,78,90,62,26,75,Male,44,Independent,19703,"drink coffee,cook at home,go to the gym,drive to work",,47643381
2018-10-05 11:40:38,2018-10-05 11:43:22,IP Address,24.180.136.192,100,163,True,2018-10-05 11:43:22,R_3n72hdQcwse6VYH,,,,,43.20880126953125,-85.26650238037109375,anonymous,EN,29,50,26,32,15,25,12,9,25,62,80,83,89,20,60,Male,37,Democrat,48838,"drink coffee,cook at home,go to the gym,drive to work",No comments other than this was a lot of fun!  Thank you!,74866742
2018-10-05 11:40:44,2018-10-05 11:43:22,IP Address,68.188.167.211,100,158,True,2018-10-05 11:43:22,R_1oI0PvAbkPxEUFP,,,,,43.0442962646484375,-83.51920318603515625,anonymous,EN,50,33,12,20,40,15,4,21,15,10,70,75,81,9,76,Female,28,Democrat,48706,"drink coffee,cook at home,go to the gym,drive to work",,44581650
2018-10-05 11:40:42,2018-10-05 11:43:27,IP Address,173.233.1.67,100,164,True,2018-10-05 11:43:28,R_RJ19r52mJuK18wF,,,,,40.6421051025390625,-79.9445037841796875,anonymous,EN,33,40,35,40,8,35,20,10,19,16,71,78,89,15,59,Male,42,Democrat,16055,"drink coffee,cook at home,go to the gym,drive to work",,26499544
2018-10-05 11:40:59,2018-10-05 11:43:27,IP Address,24.115.150.27,100,148,True,2018-10-05 11:43:28,R_2upTBjcU0iQRQHB,,,,,41.071502685546875,-75.12779998779296875,anonymous,EN,60,45,40,65,20,33,16,6,24,10,80,70,70,28,71,Male,27,Democrat,18330,"drink coffee,cook at home,go to the gym,drive to work",,53562155
2018-10-05 11:41:37,2018-10-05 11:43:31,IP Address,173.89.228.75,100,114,True,2018-10-05 11:43:32,R_1GPwLiyCy2izZEt,,,,,41.2292022705078125,-80.42440032958984375,anonymous,EN,40,49,29,42,26,17,8,30,35,33,80,64,65,41,86,Male,30,Democrat,16148,"drink coffee,cook at home,go to the gym,drive to work",,46921215
2018-10-05 11:40:32,2018-10-05 11:43:38,IP Address,73.230.121.97,100,186,True,2018-10-05 11:43:39,R_3NUPdm5VtfhkQUM,,,,,40.7848968505859375,-77.8470001220703125,anonymous,EN,43,59,18,28,4,25,17,6,7,7,89,96,92,3,60,Male,59,Independent,16823,"drink coffee,cook at home,go to the gym,drive to work",,57021293
2018-10-05 11:41:53,2018-10-05 11:43:44,IP Address,76.23.61.247,100,111,True,2018-10-05 11:43:44,R_10oOxJU3dpOkNxf,,,,,40.587005615234375,-111.98780059814453125,anonymous,EN,69,54,20,75,14,14,9,20,35,50,85,90,85,20,65,Male,38,Democrat,84074,"drink coffee,cook at home,go to the gym,drive to work",,62807234
2018-10-05 11:41:12,2018-10-05 11:43:45,IP Address,71.172.3.165,100,152,True,2018-10-05 11:43:46,R_116GqLAL3f8J7jl,,,,,40.855499267578125,-74.126800537109375,anonymous,EN,75,40,20,70,25,60,20,25,25,35,50,85,70,35,65,Male,25,Republican,07013,"drink coffee,cook at home,go to the gym,drive to work",,59468330
2018-10-05 11:40:59,2018-10-05 11:43:45,IP Address,76.6.69.27,100,166,True,2018-10-05 11:43:46,R_2QJqaL7lxYeAcCW,,,,,32.299896240234375,-95.59980010986328125,anonymous,EN,60,49,11,30,9,27,20,16,14,10,75,51,75,21,60,Female,41,Republican,77486,"drink coffee,cook at home,go to the gym,drive to work",,45923338
2018-10-05 11:40:34,2018-10-05 11:43:46,IP Address,68.111.198.189,100,191,True,2018-10-05 11:43:46,R_qL15hUNlG8h7nd7,,,,,33.09100341796875,-116.9416046142578125,anonymous,EN,55,25,40,35,20,25,30,10,25,10,70,60,40,20,60,Female,46,Democrat,92026,"drink coffee,cook at home,go to the gym,drive to work",,32165373
2018-10-05 11:41:04,2018-10-05 11:43:47,IP Address,174.104.242.40,100,163,True,2018-10-05 11:43:48,R_3hyc6orasYtsTvH,,,,,41.364898681640625,-82.11499786376953125,anonymous,EN,70,75,45,90,50,50,40,40,55,90,65,85,70,50,75,Female,42,Democrat,44035,"drink coffee,cook at home,go to the gym,drive to work",,10550537
2018-10-05 11:40:54,2018-10-05 11:43:50,IP Address,24.211.26.202,100,175,True,2018-10-05 11:43:50,R_3j9Dq0XGeNmT6LA,,,,,43.131103515625,-88.33589935302734375,anonymous,EN,25,33,33,60,5,15,10,10,20,15,85,20,90,10,97,Male,34,Independent,53029,"drink coffee,cook at home,go to the gym,drive to work",N/A,31159612
2018-10-05 11:40:46,2018-10-05 11:43:52,IP Address,208.66.15.250,100,185,True,2018-10-05 11:43:52,R_3JgGnIhQDEyfyu7,,,,,36.363800048828125,-116.15000152587890625,anonymous,EN,70,62,27,31,9,8,33,7,11,18,63,80,69,22,61,Female,60,Independent,89048,"drink coffee,cook at home,go to the gym,drive to work",,62070804
2018-10-05 11:40:56,2018-10-05 11:43:53,IP Address,47.204.234.67,100,176,True,2018-10-05 11:43:53,R_3Hh5p0OnIxxTRUv,,,,,28.1360015869140625,-82.447601318359375,anonymous,EN,46,37,35,80,8,65,47,7,13,60,30,85,75,19,66,Male,37,Democrat,33549,"drink coffee,cook at home,go to the gym,drive to work",,50073748
2018-10-05 11:41:14,2018-10-05 11:43:54,IP Address,72.196.212.142,100,160,True,2018-10-05 11:43:54,R_ahqHRJcO30Gtp29,,,,,38.926605224609375,-77.3936004638671875,anonymous,EN,30,50,40,80,15,20,30,15,20,35,75,90,85,20,50,Female,34,Democrat,20121,"drink coffee,cook at home,go to the gym,drive to work",,46099123
2018-10-05 11:41:28,2018-10-05 11:43:54,IP Address,97.75.248.100,100,146,True,2018-10-05 11:43:54,R_DBuyicSfBaXd9XH,,,,,36.6934967041015625,-94.1454010009765625,anonymous,EN,30,70,25,60,10,10,25,10,20,65,90,70,80,40,80,Female,55,Republican,64867,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",,54817620
2018-10-05 11:42:33,2018-10-05 11:43:57,IP Address,173.12.215.193,100,83,True,2018-10-05 11:43:57,R_2X0703h1BDsjnV9,,,,,28.94000244140625,-81.9897003173828125,anonymous,EN,51,35,37,63,23,16,8,15,7,55,83,74,45,15,73,Female,24,Independent,34748,"drink coffee,cook at home,go to the gym,drive to work",,58773182
2018-10-05 11:40:34,2018-10-05 11:44:00,IP Address,170.253.153.206,100,205,True,2018-10-05 11:44:00,R_3j7gLfhV8CRn7PP,,,,,33.4259033203125,-88.83029937744140625,anonymous,EN,22,40,30,40,39,43,27,28,32,40,76,62,62,38,63,Female,31,Democrat,39773,"drink coffee,cook at home,go to the gym,drive to work",,60955752
