StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,big_cities_1,computer_preference_1,cook_at_home_1,dairy_products_1,go_to_gym_1,news_phone_1,gender,age,politics_1,zip,attention_check,Q11,id
2018-11-21T13:59:36Z,2018-11-21 14:02:17,100,161,True,2018-11-21 14:02:18,NA,anonymous,EN,79,67,71,65,56,68,Male,34,5,92021,read newspapers,None,17
2018-11-21T23:23:20Z,2018-11-21 23:24:48,100,88,True,2018-11-21 23:24:49,NA,anonymous,EN,100,50,100,100,85,75,Male,31,1,15132,"like big cities,cook at home,go to the gym,consume dairy products",NA,18
2018-11-21T13:59:37Z,2018-11-21 14:04:02,100,264,True,2018-11-21 14:04:02,NA,anonymous,EN,95,95,98,99,90,98,Female,50,6,78717,"like big cities,cook at home,go to the gym,consume dairy products",Thanks,19
2018-11-22T00:02:03Z,2018-11-22 00:03:18,100,75,True,2018-11-22 00:03:18,NA,anonymous,EN,88,70,92,97,79,75,Female,25,1,74467,"like big cities,cook at home,go to the gym,consume dairy products",NA,20
2018-11-21T14:27:46Z,2018-11-21 14:30:56,100,190,True,2018-11-21 14:30:56,NA,anonymous,EN,62,60,82,75,51,75,Male,44,7,01040,"like big cities,cook at home,go to the gym,consume dairy products",Can t really guess the point so I cant offer a good comment,21
2018-11-21T14:20:12Z,2018-11-21 14:22:08,100,116,True,2018-11-21 14:22:09,NA,anonymous,EN,65,75,82,84,72,81,Female,42,4,89141,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,22
2018-11-21T17:36:57Z,2018-11-21 17:43:22,100,384,True,2018-11-21 17:43:22,NA,anonymous,EN,88,66,71,84,86,86,Male,33,3,19126,"like big cities,cook at home,go to the gym,consume dairy products",NA,23
2018-11-21T23:06:37Z,2018-11-21 23:07:54,100,76,True,2018-11-21 23:07:54,NA,anonymous,EN,34,67,92,47,58,35,Male,33,6,91737,"like big cities,cook at home,go to the gym,consume dairy products",NA,24
2018-11-21T15:18:23Z,2018-11-21 15:20:42,100,138,True,2018-11-21 15:20:43,NA,anonymous,EN,56,52,90,86,21,47,Male,38,2,87114,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,25
2018-11-21T14:46:54Z,2018-11-21 14:48:58,100,123,True,2018-11-21 14:48:58,NA,anonymous,EN,70,85,70,80,76,75,Male,54,5,01844,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",none,26
2018-11-21T20:37:06Z,2018-11-21 20:38:48,100,102,True,2018-11-21 20:38:49,NA,anonymous,EN,65,81,77,79,38,56,Female,20,4,91780,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,27
2018-11-21T23:23:15Z,2018-11-21 23:25:36,100,140,True,2018-11-21 23:25:36,NA,anonymous,EN,15,40,80,85,51,25,Female,57,2,11228,"like big cities,cook at home,go to the gym,consume dairy products",NA,28
2018-11-21T14:18:03Z,2018-11-21 14:20:42,100,159,True,2018-11-21 14:20:42,NA,anonymous,EN,73,46,95,98,49,81,Female,26,5,60123,"like big cities,cook at home,go to the gym,consume dairy products",NA,29
2018-11-22T02:01:58Z,2018-11-22 02:04:35,100,157,True,2018-11-22 02:04:36,NA,anonymous,EN,75,60,95,90,35,98,Male,34,7,60615,"like big cities,cook at home,go to the gym,consume dairy products",NA,30
2018-11-21T14:23:14Z,2018-11-21 14:27:00,100,225,True,2018-11-21 14:27:00,NA,anonymous,EN,70,60,80,98,55,90,Female,30,1,77571,"like big cities,cook at home,go to the gym,consume dairy products",NA,31
2018-11-21T15:08:17Z,2018-11-21 15:09:37,100,79,True,2018-11-21 15:09:37,NA,anonymous,EN,87,86,87,89,83,89,Female,35,6,11101,"like big cities,cook at home,go to the gym,consume dairy products",NA,32
2018-11-21T19:24:13Z,2018-11-21 19:26:22,100,128,True,2018-11-21 19:26:22,NA,anonymous,EN,78,52,74,78,65,83,Female,40,4,64482,"like big cities,cook at home,go to the gym,consume dairy products",NA,33
2018-11-21T20:54:36Z,2018-11-21 20:56:10,100,94,True,2018-11-21 20:56:11,NA,anonymous,EN,65,21,80,87,62,50,Female,22,1,17084,"like big cities,cook at home,go to the gym,consume dairy products",NA,34
2018-11-21T13:59:46Z,2018-11-21 14:00:50,100,63,True,2018-11-21 14:00:50,NA,anonymous,EN,66,75,70,68,60,66,Male,31,1,32806,consume dairy products,NA,35
2018-11-21T14:13:06Z,2018-11-21 14:14:48,100,101,True,2018-11-21 14:14:48,NA,anonymous,EN,56,29,80,85,70,76,Female,26,1,06070,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,36
2018-11-22T01:18:52Z,2018-11-22 01:28:31,100,579,True,2018-11-22 01:28:32,NA,anonymous,EN,65,57,87,82,52,90,Male,34,5,43065,"like big cities,cook at home,go to the gym,consume dairy products",NA,37
2018-11-21T21:54:34Z,2018-11-21 21:55:53,100,79,True,2018-11-21 21:55:54,NA,anonymous,EN,62,67,94,75,56,79,Male,22,2,53703,"like big cities,cook at home,go to the gym,consume dairy products",NA,38
2018-11-22T03:36:29Z,2018-11-22 03:38:48,100,139,True,2018-11-22 03:38:48,NA,anonymous,EN,65,60,85,80,90,50,Female,47,1,90026,"like big cities,cook at home,go to the gym,consume dairy products",NA,39
2018-11-22T07:01:30Z,2018-11-22 07:03:21,100,111,True,2018-11-22 07:03:22,NA,anonymous,EN,60,44,71,58,41,58,Female,45,4,30039,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,40
2018-11-21T14:50:57Z,2018-11-21 14:52:41,100,104,True,2018-11-21 14:52:41,NA,anonymous,EN,80,76,80,95,60,70,Male,28,2,99164,"like big cities,cook at home,go to the gym,consume dairy products",NA,41
2018-11-21T14:21:15Z,2018-11-21 14:22:30,100,75,True,2018-11-21 14:22:31,NA,anonymous,EN,55,26,80,84,52,38,Male,39,4,91910,"like big cities,cook at home,go to the gym,consume dairy products",NA,42
2018-11-21T20:49:10Z,2018-11-21 20:51:39,100,148,True,2018-11-21 20:51:39,NA,anonymous,EN,65,65,65,65,65,65,Male,33,1,47404,"like big cities,cook at home,go to the gym,consume dairy products",NA,43
2018-11-21T17:45:17Z,2018-11-21 17:49:39,100,262,True,2018-11-21 17:49:39,NA,anonymous,EN,33,35,99,100,10,58,Female,74,7,61554,"like big cities,cook at home,go to the gym,consume dairy products",NA,44
2018-11-21T21:57:48Z,2018-11-21 21:59:26,100,98,True,2018-11-21 21:59:26,NA,anonymous,EN,70,70,90,90,80,90,Male,22,4,95126,"like big cities,cook at home,go to the gym,consume dairy products",NA,45
2018-11-22T06:00:06Z,2018-11-22 06:02:17,100,130,True,2018-11-22 06:02:17,NA,anonymous,EN,72,72,80,73,71,65,Male,41,1,66605,"like big cities,cook at home,go to the gym,consume dairy products",NA,46
2018-11-22T00:22:26Z,2018-11-22 00:26:41,100,254,True,2018-11-22 00:26:42,NA,anonymous,EN,36,97,58,73,46,49,Male,25,2,76205,"like big cities,consume dairy products,read newspapers",thanks,47
2018-11-21T16:19:17Z,2018-11-21 16:20:30,100,73,True,2018-11-21 16:20:30,NA,anonymous,EN,50,35,100,80,60,86,Male,23,2,90804,"like big cities,cook at home,go to the gym,consume dairy products",NA,48
2018-11-21T22:06:31Z,2018-11-21 22:09:48,100,197,True,2018-11-21 22:09:48,NA,anonymous,EN,77,60,73,69,53,54,Male,30,4,14020,"like big cities,cook at home,go to the gym,consume dairy products",NA,49
2018-11-21T14:29:04Z,2018-11-21 14:37:30,100,505,True,2018-11-21 14:37:31,NA,anonymous,EN,75,70,90,90,80,95,Female,27,1,12866,"like big cities,cook at home,go to the gym,consume dairy products","The list didn't include everything, you asked me about liking Macs more than PCs, going to the gym, cooking at home, liking big cities, getting news on their phones and consuming dairy products. I hope that my responses are helpful to your research!",50
2018-11-22T04:19:59Z,2018-11-22 04:21:25,100,85,True,2018-11-22 04:21:25,NA,anonymous,EN,64,40,61,31,70,51,Male,45,2,78746,go to the gym,NA,51
2018-11-22T04:42:00Z,2018-11-22 04:55:23,100,803,True,2018-11-22 04:55:24,NA,anonymous,EN,61,65,75,95,50,80,Male,37,6,11239,"like big cities,cook at home,go to the gym,consume dairy products",thanks for having me participate. Happy Thanksgiving.,52
2018-11-22T02:09:25Z,2018-11-22 02:10:33,100,68,True,2018-11-22 02:10:34,NA,anonymous,EN,95,95,92,94,92,93,Male,28,7,74757,like big cities,no,53
2018-11-21T14:41:41Z,2018-11-21 14:43:16,100,94,True,2018-11-21 14:43:16,NA,anonymous,EN,52,56,100,75,28,78,Male,30,2,53142,"like big cities,cook at home,go to the gym,consume dairy products",NA,54
2018-11-21T20:48:21Z,2018-11-21 20:50:06,100,105,True,2018-11-21 20:50:07,NA,anonymous,EN,93,82,79,72,94,30,Male,25,2,91210,"like big cities,cook at home,go to the gym,consume dairy products",that was difficult to remember thanks,55
2018-11-21T21:24:34Z,2018-11-21 21:26:26,100,112,True,2018-11-21 21:26:27,NA,anonymous,EN,75,30,80,65,50,50,Male,53,4,55128,"like big cities,cook at home,go to the gym,consume dairy products",NA,56
2018-11-21T15:26:29Z,2018-11-21 15:29:37,100,188,True,2018-11-21 15:29:38,NA,anonymous,EN,65,60,75,70,50,85,Female,52,3,44212,"like big cities,cook at home,go to the gym,consume dairy products",none,57
2018-11-21T23:38:22Z,2018-11-21 23:40:21,100,118,True,2018-11-21 23:40:21,NA,anonymous,EN,55,70,84,66,70,96,Male,48,5,94404,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",Thank You,58
2018-11-21T20:19:46Z,2018-11-21 20:23:54,100,247,True,2018-11-21 20:23:54,NA,anonymous,EN,100,100,100,100,100,100,Female,37,7,35042,"like big cities,cook at home,go to the gym,consume dairy products",NA,59
2018-11-21T18:12:27Z,2018-11-21 18:14:27,100,120,True,2018-11-21 18:14:27,NA,anonymous,EN,58,61,92,83,32,78,Female,34,4,01351,"like big cities,cook at home,go to the gym,consume dairy products",NA,60
2018-11-21T23:16:22Z,2018-11-21 23:18:54,100,151,True,2018-11-21 23:18:54,NA,anonymous,EN,31,46,67,40,58,89,Female,48,7,77801,"like big cities,cook at home,go to the gym,consume dairy products",NA,61
2018-11-21T14:15:20Z,2018-11-21 14:18:44,100,204,True,2018-11-21 14:18:45,NA,anonymous,EN,90,70,99,100,56,94,Male,69,3,35622,"like big cities,cook at home,go to the gym,consume dairy products",no,62
2018-11-21T20:26:38Z,2018-11-21 20:28:37,100,119,True,2018-11-21 20:28:38,NA,anonymous,EN,100,73,79,73,75,76,Male,38,6,29728,"like big cities,cook at home,go to the gym,consume dairy products",NA,63
2018-11-21T15:54:04Z,2018-11-21 15:57:39,100,214,True,2018-11-21 15:57:40,NA,anonymous,EN,58,70,75,90,64,93,Male,64,2,29571,"like big cities,cook at home,go to the gym,consume dairy products",no,64
2018-11-22T00:20:02Z,2018-11-22 00:21:34,100,92,True,2018-11-22 00:21:35,NA,anonymous,EN,80,32,82,85,93,34,Male,27,2,77019,"like big cities,cook at home,go to the gym,consume dairy products",no comments,65
2018-11-21T15:43:54Z,2018-11-21 15:45:07,100,72,True,2018-11-21 15:45:07,NA,anonymous,EN,50,29,93,88,37,43,Male,39,5,73010,"like big cities,cook at home,go to the gym,consume dairy products",NA,66
2018-11-21T15:22:03Z,2018-11-21 15:27:26,100,323,True,2018-11-21 15:27:27,NA,anonymous,EN,90,86,86,86,85,84,Male,37,1,97007,"like big cities,cook at home,consume dairy products,read newspapers",NA,67
2018-11-21T19:28:10Z,2018-11-21 19:35:22,100,431,True,2018-11-21 19:35:22,NA,anonymous,EN,85,78,91,77,74,87,Female,29,6,06281,"like big cities,cook at home,go to the gym,consume dairy products",NA,68
2018-11-21T14:38:12Z,2018-11-21 14:40:50,100,157,True,2018-11-21 14:40:50,NA,anonymous,EN,83,73,95,48,93,91,Female,45,3,28390,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,69
2018-11-21T14:49:56Z,2018-11-21 14:52:04,100,128,True,2018-11-21 14:52:04,NA,anonymous,EN,71,70,72,67,72,78,Female,29,1,20009,"like big cities,go to the gym,consume dairy products",NA,70
2018-11-21T14:02:36Z,2018-11-21 14:04:07,100,91,True,2018-11-21 14:04:07,NA,anonymous,EN,49,72,85,77,43,83,Male,30,4,70586,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,71
2018-11-22T05:25:03Z,2018-11-22 05:26:47,100,104,True,2018-11-22 05:26:48,NA,anonymous,EN,51,63,37,100,62,66,Female,26,4,72118,"like big cities,cook at home,go to the gym,consume dairy products",NA,72
2018-11-22T04:46:51Z,2018-11-22 04:48:19,100,87,True,2018-11-22 04:48:19,NA,anonymous,EN,50,50,50,100,50,100,Other/Non-conforming,25,4,10469,"like big cities,cook at home,consume dairy products",NA,73
2018-11-21T17:25:30Z,2018-11-21 17:27:45,100,135,True,2018-11-21 17:27:46,NA,anonymous,EN,50,75,90,90,50,50,Female,37,4,78602,"like big cities,cook at home,go to the gym,consume dairy products",NA,74
2018-11-21T14:14:56Z,2018-11-21 14:17:12,100,136,True,2018-11-21 14:17:13,NA,anonymous,EN,43,38,50,55,57,50,Male,34,5,41102,"like big cities,cook at home,go to the gym,consume dairy products,go to the movies",NA,75
2018-11-22T04:38:03Z,2018-11-22 04:40:46,100,162,True,2018-11-22 04:40:46,NA,anonymous,EN,50,47,59,93,52,55,Male,69,2,97131,"like big cities,cook at home,go to the gym,consume dairy products",NA,76
2018-11-21T14:42:51Z,2018-11-21 14:44:54,100,122,True,2018-11-21 14:44:54,NA,anonymous,EN,100,93,100,100,100,89,Male,39,1,17055,"like big cities,cook at home,go to the gym,consume dairy products",NA,77
2018-11-21T13:59:54Z,2018-11-21 14:02:01,100,127,True,2018-11-21 14:02:02,NA,anonymous,EN,59,89,90,90,87,90,Male,38,5,29340,"like big cities,cook at home,go to the gym,consume dairy products",NA,78
2018-11-22T00:36:35Z,2018-11-22 00:38:20,100,104,True,2018-11-22 00:38:20,NA,anonymous,EN,70,70,50,90,30,81,Male,26,2,95624,"like big cities,cook at home,go to the gym,consume dairy products",NA,79
2018-11-21T14:36:03Z,2018-11-21 14:38:00,100,116,True,2018-11-21 14:38:00,NA,anonymous,EN,53,58,63,56,45,62,Female,27,2,92122,"like big cities,go to the gym,consume dairy products",no thank you,80
2018-11-21T14:51:20Z,2018-11-21 14:53:00,100,99,True,2018-11-21 14:53:00,NA,anonymous,EN,75,75,65,95,70,85,Male,30,4,63368,"like big cities,cook at home,go to the gym,consume dairy products",NA,81
2018-11-21T15:07:14Z,2018-11-21 15:09:03,100,109,True,2018-11-21 15:09:04,NA,anonymous,EN,65,70,92,85,55,90,Female,27,2,60304,"like big cities,cook at home,go to the gym,consume dairy products",NA,82
2018-11-21T14:11:58Z,2018-11-21 14:26:53,100,895,True,2018-11-21 14:26:53,NA,anonymous,EN,60,71,73,81,63,73,Female,22,4,53154,"like big cities,cook at home,go to the gym,consume dairy products,watch TV",NA,83
2018-11-21T17:40:03Z,2018-11-21 17:41:24,100,81,True,2018-11-21 17:41:24,NA,anonymous,EN,70,75,73,68,84,85,Female,45,2,14094,"watch TV,read newspapers,go to bars",NA,84
2018-11-21T21:46:00Z,2018-11-21 21:48:11,100,130,True,2018-11-21 21:48:11,NA,anonymous,EN,76,67,69,52,37,94,Female,23,4,98277,"like big cities,cook at home,go to the gym,consume dairy products",NA,85
2018-11-21T15:08:44Z,2018-11-21 15:10:54,100,129,True,2018-11-21 15:10:54,NA,anonymous,EN,56,64,61,91,62,70,Female,38,2,76504,"like big cities,cook at home,go to the gym,consume dairy products",NA,86
2018-11-21T14:50:33Z,2018-11-21 14:52:19,100,106,True,2018-11-21 14:52:20,NA,anonymous,EN,73,33,92,68,39,77,Male,27,6,49024,"like big cities,cook at home,go to the gym,consume dairy products",NA,87
2018-11-21T20:13:30Z,2018-11-21 20:16:23,100,172,True,2018-11-21 20:16:23,NA,anonymous,EN,75,60,65,77,76,71,Female,43,4,59801,"like big cities,cook at home,go to the gym,consume dairy products",No,88
2018-11-21T20:09:54Z,2018-11-21 20:12:19,100,145,True,2018-11-21 20:12:19,NA,anonymous,EN,58,54,91,78,84,79,Female,30,5,30312,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,89
2018-11-21T14:43:06Z,2018-11-21 14:44:48,100,102,True,2018-11-21 14:44:48,NA,anonymous,EN,68,88,69,95,69,89,Female,53,5,85635,"like big cities,cook at home,go to the gym,consume dairy products",NA,90
2018-11-22T02:58:47Z,2018-11-22 03:00:52,100,125,True,2018-11-22 03:00:53,NA,anonymous,EN,80,66,90,75,60,90,Male,54,4,07470,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,91
2018-11-21T23:53:48Z,2018-11-21 23:55:30,100,101,True,2018-11-21 23:55:30,NA,anonymous,EN,55,49,80,60,55,75,Female,36,6,64870,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,92
2018-11-21T23:53:53Z,2018-11-21 23:55:47,100,113,True,2018-11-21 23:55:47,NA,anonymous,EN,80,80,90,90,80,90,Female,25,1,93036,"like big cities,cook at home,go to the gym,consume dairy products",N/A,93
2018-11-21T16:26:11Z,2018-11-21 16:30:05,100,234,True,2018-11-21 16:30:05,NA,anonymous,EN,45,73,63,77,54,41,Female,53,4,60606,"watch TV,read newspapers,go to the movies,go to bars",NA,94
2018-11-21T14:35:03Z,2018-11-21 14:37:07,100,124,True,2018-11-21 14:37:08,NA,anonymous,EN,57,66,74,92,37,67,Male,40,5,17050,"like big cities,cook at home,go to the gym,consume dairy products",NA,95
2018-11-21T20:23:24Z,2018-11-21 20:24:55,100,91,True,2018-11-21 20:24:56,NA,anonymous,EN,80,80,75,85,80,75,Male,36,3,11373,"like big cities,cook at home,go to the gym,consume dairy products",NA,96
2018-11-22T02:12:49Z,2018-11-22 02:14:42,100,113,True,2018-11-22 02:14:42,NA,anonymous,EN,85,80,80,90,85,91,Male,18,7,72501,"like big cities,cook at home,go to the gym,consume dairy products,read newspapers",NA,97
2018-11-22T00:28:35Z,2018-11-22 00:31:48,100,192,True,2018-11-22 00:31:48,NA,anonymous,EN,95,95,95,95,80,95,Male,34,3,92503,"like big cities,cook at home,go to the gym,consume dairy products",NA,98
2018-11-21T15:43:31Z,2018-11-21 15:45:19,100,107,True,2018-11-21 15:45:19,NA,anonymous,EN,86,56,79,98,73,88,Male,49,4,80120,"like big cities,cook at home,go to the gym,consume dairy products",NA,99
2018-11-21T15:27:00Z,2018-11-21 15:36:47,100,586,True,2018-11-21 15:36:47,NA,anonymous,EN,65,75,95,80,71,85,Male,27,3,92109,"like big cities,cook at home,go to the gym,consume dairy products,watch TV",NA,100
2018-11-21T21:27:57Z,2018-11-21 21:29:57,100,119,True,2018-11-21 21:29:57,NA,anonymous,EN,71,47,92,78,41,63,Female,29,3,89130,"like big cities,cook at home,go to the gym,consume dairy products",NA,101
2018-11-21T14:02:23Z,2018-11-21 14:04:26,100,123,True,2018-11-21 14:04:27,NA,anonymous,EN,91,84,84,89,75,100,Male,32,1,22042,"like big cities,cook at home,go to the gym,consume dairy products",NA,102
2018-11-22T01:53:03Z,2018-11-22 01:55:10,100,126,True,2018-11-22 01:55:10,NA,anonymous,EN,60,75,70,85,75,60,Female,22,3,47906,"like big cities,cook at home,go to the gym,consume dairy products",NA,103
2018-11-21T15:09:12Z,2018-11-21 15:10:53,100,101,True,2018-11-21 15:10:53,NA,anonymous,EN,48,47,78,86,61,84,Female,27,2,11238,"like big cities,cook at home,go to the gym,consume dairy products,watch TV",NA,104
2018-11-21T21:14:59Z,2018-11-21 21:16:52,100,113,True,2018-11-21 21:16:53,NA,anonymous,EN,75,60,76,82,60,60,Female,43,2,65101,"like big cities,cook at home,go to the gym,consume dairy products",NA,105
2018-11-21T14:01:18Z,2018-11-21 14:03:52,100,153,True,2018-11-21 14:03:52,NA,anonymous,EN,28,11,33,60,31,6,Male,36,6,93230,"cook at home,go to the gym","DId I have to select all of them? I do not want to get disqualified because the directions did not say all, those were all the ones I could remember. I am not a bot. Thank you!",106
2018-11-21T22:40:34Z,2018-11-21 22:42:15,100,101,True,2018-11-21 22:42:16,NA,anonymous,EN,75,65,88,88,70,87,Male,37,2,34288,"like big cities,cook at home,go to the gym,consume dairy products",NA,107
2018-11-22T03:07:23Z,2018-11-22 03:10:37,100,194,True,2018-11-22 03:10:37,NA,anonymous,EN,72,75,94,91,62,84,Female,55,3,32754,"like big cities,cook at home,go to the gym,consume dairy products",none,108
2018-11-21T14:01:11Z,2018-11-21 14:04:09,100,178,True,2018-11-21 14:04:10,NA,anonymous,EN,70,70,90,80,75,70,Male,43,2,46280,"like big cities,cook at home,go to the gym,consume dairy products",NA,109
2018-11-21T14:10:25Z,2018-11-21 14:13:24,100,179,True,2018-11-21 14:13:24,NA,anonymous,EN,60,60,75,65,30,85,Male,32,2,10022,"like big cities,cook at home,go to the gym,consume dairy products",NA,110
2018-11-21T21:14:47Z,2018-11-21 21:16:27,100,100,True,2018-11-21 21:16:28,NA,anonymous,EN,90,75,78,90,60,95,Male,32,3,75013,"like big cities,cook at home,go to the gym,consume dairy products",NA,111
2018-11-21T19:20:49Z,2018-11-21 19:22:23,100,94,True,2018-11-21 19:22:23,NA,anonymous,EN,88,73,100,100,83,100,Male,33,3,11590,"like big cities,cook at home,go to the gym,consume dairy products",NA,112
2018-11-21T20:15:00Z,2018-11-21 20:16:56,100,116,True,2018-11-21 20:16:57,NA,anonymous,EN,79,61,91,84,69,51,Male,33,2,11501,"like big cities,cook at home,go to the gym,consume dairy products",NA,113
2018-11-21T14:15:44Z,2018-11-21 14:17:51,100,126,True,2018-11-21 14:17:51,NA,anonymous,EN,61,86,99,76,72,89,Female,63,5,93614,"like big cities,cook at home,go to the gym,consume dairy products",NA,114
2018-11-21T14:03:27Z,2018-11-21 14:04:33,100,66,True,2018-11-21 14:04:34,NA,anonymous,EN,54,44,95,90,76,68,Male,31,1,02035,"like big cities,cook at home,go to the gym,consume dairy products",NA,115
2018-11-21T23:52:03Z,2018-11-22 00:03:48,100,704,True,2018-11-22 00:03:48,NA,anonymous,EN,63,55,45,75,42,70,Female,21,5,76120,"like big cities,cook at home,go to the gym,consume dairy products",NA,116
2018-11-21T13:59:44Z,2018-11-21 14:01:09,100,85,True,2018-11-21 14:01:10,NA,anonymous,EN,77,65,65,72,60,87,Female,24,4,32148,"like big cities,cook at home,go to the gym,consume dairy products",NA,117
2018-11-21T14:34:02Z,2018-11-21 14:35:50,100,108,True,2018-11-21 14:35:50,NA,anonymous,EN,35,60,50,74,60,80,Female,22,4,11725,"like big cities,cook at home,go to the gym,consume dairy products",NA,118
2018-11-21T14:00:45Z,2018-11-21 14:02:19,100,94,True,2018-11-21 14:02:19,NA,anonymous,EN,14,30,79,92,23,45,Female,42,7,29672,"like big cities,cook at home,go to the gym,consume dairy products",thanks,119
2018-11-22T00:09:46Z,2018-11-22 00:12:03,100,137,True,2018-11-22 00:12:04,NA,anonymous,EN,80,90,80,70,70,70,Female,30,1,60050,"like big cities,cook at home,go to the gym,consume dairy products",NA,120
2018-11-22T01:41:02Z,2018-11-22 01:42:06,100,63,True,2018-11-22 01:42:06,NA,anonymous,EN,7,48,43,62,60,62,Male,26,2,11413,"like big cities,cook at home,go to the gym,consume dairy products",NA,121
2018-11-21T18:38:58Z,2018-11-21 18:41:13,100,134,True,2018-11-21 18:41:13,NA,anonymous,EN,71,78,90,94,80,86,Female,28,4,43062,"like big cities,cook at home,go to the gym,consume dairy products",NA,122
2018-11-21T20:49:20Z,2018-11-21 20:51:14,100,113,True,2018-11-21 20:51:14,NA,anonymous,EN,63,57,52,67,53,44,Male,42,1,95820,"like big cities,cook at home,consume dairy products",na,123
