StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,gender_watchsports_1,gender_desserts_1,age_nightlynews_1,age_onlineshopping_1,control_drive_1,control_windowseat_1,gender,age,attention_check,Q11,id
2018-05-09T09:25:10Z,2018-05-09 09:27:18,IP Address,100,127,True,2018-05-09 09:27:18,NA,NA,NA,NA,anonymous,EN,40,91,56,65,92,74,Male,19,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,35
2018-05-09T09:26:58Z,2018-05-09 09:28:44,IP Address,100,106,True,2018-05-09 09:28:45,NA,NA,NA,NA,anonymous,EN,61,62,90,70,88,85,Female,53,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,36
2018-05-09T09:37:32Z,2018-05-09 09:39:45,IP Address,100,132,True,2018-05-09 09:39:45,NA,NA,NA,NA,anonymous,EN,70,85,60,70,80,60,Female,32,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,37
2018-05-09T09:27:12Z,2018-05-09 09:29:27,IP Address,100,134,True,2018-05-09 09:29:27,NA,NA,NA,NA,anonymous,EN,40,60,39,40,80,20,Female,18,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,38
2018-05-09T09:44:40Z,2018-05-09 09:46:11,IP Address,100,90,True,2018-05-09 09:46:11,NA,NA,NA,NA,anonymous,EN,80,70,70,90,70,50,Male,35,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,39
2018-05-09T09:22:54Z,2018-05-09 09:24:19,IP Address,100,84,True,2018-05-09 09:24:19,NA,NA,NA,NA,anonymous,EN,72,87,40,65,74,66,Male,37,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,40
2018-05-09T09:25:35Z,2018-05-09 09:27:15,IP Address,100,100,True,2018-05-09 09:27:16,NA,NA,NA,NA,anonymous,EN,71,88,60,76,64,50,Female,34,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",I'm not sure I got all of the 6 questions they asked correct. I did read them all.,41
2018-05-09T09:26:29Z,2018-05-09 09:28:45,IP Address,100,135,True,2018-05-09 09:28:45,NA,NA,NA,NA,anonymous,EN,96,51,73,85,100,45,Male,23,watch professional sports,NA,42
2018-05-09T09:35:38Z,2018-05-09 09:37:25,IP Address,100,106,True,2018-05-09 09:37:25,NA,NA,NA,NA,anonymous,EN,93,95,91,96,100,96,Female,32,like desserts,NA,43
2018-05-09T09:39:35Z,2018-05-09 09:42:03,IP Address,100,147,True,2018-05-09 09:42:03,NA,NA,NA,NA,anonymous,EN,65,66,32,30,89,50,Male,48,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",The previous question didn't make sense. It said the Akarians liked which 6 things.  The Akarians were the first one listed on the survey about watching professional sports.  I selected all 6 topics that I saw.  The way the question was framed was misleading.,44
2018-05-09T09:29:22Z,2018-05-09 09:34:32,IP Address,100,310,True,2018-05-09 09:34:32,NA,NA,NA,NA,anonymous,EN,75,50,95,75,95,75,Male,63,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,45
2018-05-09T09:30:01Z,2018-05-09 09:34:26,IP Address,100,264,True,2018-05-09 09:34:26,NA,NA,NA,NA,anonymous,EN,70,78,61,47,50,60,Female,65,watch nightly news on tv,I don't remembernwhat made up place does what,46
2018-05-09T09:38:33Z,2018-05-09 09:39:32,IP Address,100,58,True,2018-05-09 09:39:32,NA,NA,NA,NA,anonymous,EN,36,74,27,52,39,58,Male,29,"watch nightly news on tv,like the window seat on the plane,watch professional sports,likes puppies,go to bars,read newspapers",NA,47
2018-05-09T09:25:16Z,2018-05-09 09:26:21,IP Address,100,65,True,2018-05-09 09:26:21,NA,NA,NA,NA,anonymous,EN,62,65,53,62,74,82,Female,33,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,48
2018-05-09T09:16:08Z,2018-05-09 09:17:16,IP Address,100,68,True,2018-05-09 09:17:17,NA,NA,NA,NA,anonymous,EN,70,95,75,67,75,95,Male,46,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,49
2018-05-09T09:14:34Z,2018-05-09 09:15:29,IP Address,100,54,True,2018-05-09 09:15:29,NA,NA,NA,NA,anonymous,EN,64,89,42,83,91,72,Male,33,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,read newspapers",NA,50
2018-05-09T09:28:28Z,2018-05-09 09:30:48,IP Address,100,140,True,2018-05-09 09:30:49,NA,NA,NA,NA,anonymous,EN,70,80,70,70,80,50,Male,30,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports","The memory check at the end has a typo.  You say select the 6 of 9 things, but you only reference the Akarians.  I selected the 6 according to the question.",51
2018-05-09T09:14:27Z,2018-05-09 09:15:14,IP Address,100,46,True,2018-05-09 09:15:14,NA,NA,NA,NA,anonymous,EN,58,82,55,59,65,48,Male,29,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",no comment,52
2018-05-09T09:24:57Z,2018-05-09 09:26:51,IP Address,100,113,True,2018-05-09 09:26:51,NA,NA,NA,NA,anonymous,EN,65,92,85,87,80,80,Male,22,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,53
2018-05-09T09:21:45Z,2018-05-09 09:23:33,IP Address,100,107,True,2018-05-09 09:23:34,NA,NA,NA,NA,anonymous,EN,75,70,65,50,75,70,Female,34,like desserts,NA,54
2018-05-09T09:15:40Z,2018-05-09 09:17:26,IP Address,100,105,True,2018-05-09 09:17:26,NA,NA,NA,NA,anonymous,EN,80,50,70,75,90,40,Male,35,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,55
2018-05-09T09:15:03Z,2018-05-09 09:17:42,IP Address,100,158,True,2018-05-09 09:17:42,NA,NA,NA,NA,anonymous,EN,27,42,64,81,67,49,Male,21,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,56
2018-05-09T09:32:11Z,2018-05-09 09:34:08,IP Address,100,116,True,2018-05-09 09:34:08,NA,NA,NA,NA,anonymous,EN,100,100,100,100,100,100,Female,25,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,57
2018-05-09T09:35:31Z,2018-05-09 09:37:54,IP Address,100,142,True,2018-05-09 09:37:54,NA,NA,NA,NA,anonymous,EN,75,75,85,85,90,75,Female,49,like the window seat on the plane,NA,58
2018-05-09T09:32:00Z,2018-05-09 09:34:04,IP Address,100,123,True,2018-05-09 09:34:04,NA,NA,NA,NA,anonymous,EN,77,35,58,19,70,28,Male,35,drive to work,thanks for the survey.,59
2018-05-09T09:41:04Z,2018-05-09 09:42:27,IP Address,100,82,True,2018-05-09 09:42:27,NA,NA,NA,NA,anonymous,EN,61,53,59,74,50,57,Male,39,"watch nightly news on tv,like online shopping,like the window seat on the plane,watch professional sports,likes puppies,go to bars",NA,60
2018-05-09T09:37:17Z,2018-05-09 09:38:46,IP Address,100,88,True,2018-05-09 09:38:46,NA,NA,NA,NA,anonymous,EN,85,90,80,70,85,60,Male,48,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,61
2018-05-09T09:43:29Z,2018-05-09 09:45:35,IP Address,100,125,True,2018-05-09 09:45:35,NA,NA,NA,NA,anonymous,EN,75,95,90,90,90,75,Male,49,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,62
2018-05-09T09:21:30Z,2018-05-09 09:22:53,IP Address,100,83,True,2018-05-09 09:22:53,NA,NA,NA,NA,anonymous,EN,55,68,21,61,62,19,Female,37,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,63
2018-05-09T09:22:55Z,2018-05-09 09:24:25,IP Address,100,89,True,2018-05-09 09:24:25,NA,NA,NA,NA,anonymous,EN,80,80,80,80,90,75,Female,37,"watch nightly news on tv,like online shopping,like the window seat on the plane,drive to work,watch professional sports,read newspapers",Thanks!,64
2018-05-09T09:16:23Z,2018-05-09 09:20:38,IP Address,100,254,True,2018-05-09 09:20:38,NA,NA,NA,NA,anonymous,EN,75,75,65,81,75,66,Male,32,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports","Given a single statement with no context, it's nearly impossible to quantify what percentage of a population follows that statement.",65
2018-05-09T09:16:45Z,2018-05-09 09:18:35,IP Address,100,109,True,2018-05-09 09:18:36,NA,NA,NA,NA,anonymous,EN,74,91,63,72,80,61,Male,66,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,66
2018-05-09T09:15:37Z,2018-05-09 09:16:55,IP Address,100,77,True,2018-05-09 09:16:56,NA,NA,NA,NA,anonymous,EN,82,99,86,98,100,99,Female,31,watch nightly news on tv,NA,67
2018-05-09T09:25:13Z,2018-05-09 09:27:06,IP Address,100,112,True,2018-05-09 09:27:06,NA,NA,NA,NA,anonymous,EN,50,50,50,50,50,50,Male,41,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,68
2018-05-09T09:19:11Z,2018-05-09 09:20:03,IP Address,100,52,True,2018-05-09 09:20:04,NA,NA,NA,NA,anonymous,EN,80,90,82,79,85,70,Female,26,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,69
2018-05-09T09:26:39Z,2018-05-09 09:28:46,IP Address,100,126,True,2018-05-09 09:28:46,NA,NA,NA,NA,anonymous,EN,99,92,87,93,88,57,Female,53,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,70
2018-05-09T09:27:24Z,2018-05-09 09:29:40,IP Address,100,135,True,2018-05-09 09:29:40,NA,NA,NA,NA,anonymous,EN,63,72,70,63,60,58,Female,23,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports","I did my best to remember what the Akarians said, but I think there were multiple different races other than the Akarians. I hope that my answers are acceptable!",71
2018-05-09T09:40:43Z,2018-05-09 09:42:22,IP Address,100,99,True,2018-05-09 09:42:23,NA,NA,NA,NA,anonymous,EN,54,54,61,61,52,51,Male,25,"watch nightly news on tv,like the window seat on the plane,like desserts,watch professional sports,go to bars,read newspapers",NA,72
2018-05-09T09:19:51Z,2018-05-09 09:21:39,IP Address,100,108,True,2018-05-09 09:21:40,NA,NA,NA,NA,anonymous,EN,43,76,25,57,76,67,Female,23,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,73
2018-05-09T09:34:49Z,2018-05-09 09:35:36,IP Address,100,46,True,2018-05-09 09:35:36,NA,NA,NA,NA,anonymous,EN,77,78,85,77,85,72,Male,42,"watch nightly news on tv,like online shopping,like the window seat on the plane,drive to work,watch professional sports,likes puppies",NA,74
2018-05-09T09:22:04Z,2018-05-09 09:23:54,IP Address,100,110,True,2018-05-09 09:23:55,NA,NA,NA,NA,anonymous,EN,60,65,90,78,80,85,Male,26,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",thank you,75
2018-05-09T09:19:19Z,2018-05-09 09:20:50,IP Address,100,91,True,2018-05-09 09:20:51,NA,NA,NA,NA,anonymous,EN,81,91,94,97,97,52,Female,41,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,76
2018-05-09T09:15:11Z,2018-05-09 09:16:33,IP Address,100,82,True,2018-05-09 09:16:34,NA,NA,NA,NA,anonymous,EN,64,66,58,57,93,50,Female,23,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,77
2018-05-09T09:14:15Z,2018-05-09 09:15:29,IP Address,100,73,True,2018-05-09 09:15:29,NA,NA,NA,NA,anonymous,EN,70,86,72,68,74,50,Male,21,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,78
2018-05-09T09:19:29Z,2018-05-09 09:23:40,IP Address,100,250,True,2018-05-09 09:23:41,NA,NA,NA,NA,anonymous,EN,69,67,40,52,97,84,Male,30,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,79
2018-05-09T09:31:33Z,2018-05-09 09:33:25,IP Address,100,111,True,2018-05-09 09:33:25,NA,NA,NA,NA,anonymous,EN,41,75,62,56,27,92,Male,25,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,80
2018-05-09T09:35:05Z,2018-05-09 09:35:55,IP Address,100,49,True,2018-05-09 09:35:55,NA,NA,NA,NA,anonymous,EN,64,81,63,74,73,67,Female,41,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,81
2018-05-09T09:17:38Z,2018-05-09 09:20:08,IP Address,100,149,True,2018-05-09 09:20:08,NA,NA,NA,NA,anonymous,EN,65,85,50,70,97,90,Male,37,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",no issues,82
2018-05-09T09:43:36Z,2018-05-09 09:47:45,IP Address,100,249,True,2018-05-09 09:47:45,NA,NA,NA,NA,anonymous,EN,86,91,70,23,76,59,Male,29,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",I'm a genius,83
2018-05-09T09:31:35Z,2018-05-09 09:32:06,IP Address,100,30,True,2018-05-09 09:32:07,NA,NA,NA,NA,anonymous,EN,64,84,41,50,44,58,Female,34,"watch nightly news on tv,like the window seat on the plane,like desserts,drive to work,likes puppies,read newspapers",NA,84
2018-05-09T09:40:24Z,2018-05-09 09:42:18,IP Address,100,113,True,2018-05-09 09:42:18,NA,NA,NA,NA,anonymous,EN,71,70,70,70,70,70,Female,35,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",no,85
2018-05-09T09:14:26Z,2018-05-09 09:15:10,IP Address,100,44,True,2018-05-09 09:15:10,NA,NA,NA,NA,anonymous,EN,72,50,63,47,45,41,Male,19,"like desserts,drive to work,watch professional sports,likes puppies,go to bars,read newspapers",NA,86
2018-05-09T09:18:11Z,2018-05-09 09:19:48,IP Address,100,96,True,2018-05-09 09:19:49,NA,NA,NA,NA,anonymous,EN,3,66,15,27,10,58,Female,25,"watch nightly news on tv,like online shopping,like the window seat on the plane,drive to work,watch professional sports,read newspapers",NA,87
2018-05-09T09:40:05Z,2018-05-09 09:41:55,IP Address,100,109,True,2018-05-09 09:41:55,NA,NA,NA,NA,anonymous,EN,80,80,80,81,90,70,Male,26,watch professional sports,NA,88
2018-05-09T09:33:53Z,2018-05-09 09:37:15,IP Address,100,201,True,2018-05-09 09:37:16,NA,NA,NA,NA,anonymous,EN,63,83,62,60,40,22,Male,28,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports","Very interesting HIT's, hard to make a judgment on these sentence so I did my best with the importance of the sentence :]",89
2018-05-09T09:31:07Z,2018-05-09 09:33:10,IP Address,100,123,True,2018-05-09 09:33:10,NA,NA,NA,NA,anonymous,EN,76,75,75,75,75,75,Female,34,"watch nightly news on tv,like online shopping,like desserts,drive to work,watch professional sports",NA,90
2018-05-09T09:18:03Z,2018-05-09 09:19:30,IP Address,100,87,True,2018-05-09 09:19:31,NA,NA,NA,NA,anonymous,EN,84,92,82,81,89,79,Female,30,drive to work,NA,91
2018-05-09T09:29:30Z,2018-05-09 09:32:08,IP Address,100,158,True,2018-05-09 09:32:08,NA,NA,NA,NA,anonymous,EN,77,86,98,95,26,66,Female,32,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,92
2018-05-09T09:38:25Z,2018-05-09 09:39:54,IP Address,100,88,True,2018-05-09 09:39:54,NA,NA,NA,NA,anonymous,EN,40,60,44,78,66,25,Male,34,watch professional sports,NA,93
2018-05-09T09:43:52Z,2018-05-09 09:44:46,IP Address,100,54,True,2018-05-09 09:44:46,NA,NA,NA,NA,anonymous,EN,67,47,77,71,64,57,Male,19,watch professional sports,N/A,94
2018-05-09T09:42:49Z,2018-05-09 09:45:05,IP Address,100,136,True,2018-05-09 09:45:06,NA,NA,NA,NA,anonymous,EN,60,70,70,70,70,55,Female,59,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,95
2018-05-09T09:23:10Z,2018-05-09 09:27:23,IP Address,100,252,True,2018-05-09 09:27:23,NA,NA,NA,NA,anonymous,EN,90,90,80,70,80,60,Male,27,watch nightly news on tv,"None, though im not sure if i got the last question right i may have mixed up a few of these fake country men.",96
2018-05-09T09:36:23Z,2018-05-09 09:38:52,IP Address,100,148,True,2018-05-09 09:38:52,NA,NA,NA,NA,anonymous,EN,85,80,50,60,92,60,Female,50,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,97
2018-05-09T09:16:33Z,2018-05-09 09:19:19,IP Address,100,166,True,2018-05-09 09:19:20,NA,NA,NA,NA,anonymous,EN,86,100,87,95,76,92,Female,53,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,98
2018-05-09T09:25:03Z,2018-05-09 09:26:45,IP Address,100,102,True,2018-05-09 09:26:46,NA,NA,NA,NA,anonymous,EN,60,80,40,42,66,61,Male,48,"watch nightly news on tv,like online shopping,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,99
2018-05-09T09:15:00Z,2018-05-09 09:16:59,IP Address,100,119,True,2018-05-09 09:17:00,NA,NA,NA,NA,anonymous,EN,75,84,95,68,94,61,Male,54,watch professional sports,Thank you!,100
2018-05-09T09:16:07Z,2018-05-09 09:19:43,IP Address,100,216,True,2018-05-09 09:19:44,NA,NA,NA,NA,anonymous,EN,65,93,68,80,69,58,Male,41,watch professional sports,Thanks!,101
2018-05-09T09:16:11Z,2018-05-09 09:17:43,IP Address,100,92,True,2018-05-09 09:17:44,NA,NA,NA,NA,anonymous,EN,86,90,76,83,65,65,Female,25,watch professional sports,NA,102
2018-05-09T09:26:22Z,2018-05-09 09:28:14,IP Address,100,112,True,2018-05-09 09:28:14,NA,NA,NA,NA,anonymous,EN,71,70,78,70,78,63,Female,60,"watch nightly news on tv,like the window seat on the plane,like desserts,drive to work,watch professional sports",NA,103
