StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2_1,Q3,Q4_1,Q5,Q6_1,Q8,condition,L_object,L_feature,M_object,M_feature,H_object,H_feature,L_object_cap,M_object_cap,H_object_cap,id
2018-02-07T16:01:26Z,2018-02-07 16:02:50,IP Address,100,83,True,2018-02-07 16:02:50,NA,NA,NA,NA,anonymous,EN,Yes,55,Yes,28,Yes,94,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,11
2018-02-07T15:31:23Z,2018-02-07 15:32:14,IP Address,100,51,True,2018-02-07 15:32:15,NA,NA,NA,NA,anonymous,EN,Yes,60,Yes,86,Yes,100,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,12
2018-02-07T15:00:09Z,2018-02-07 15:01:22,IP Address,100,73,True,2018-02-07 15:01:23,NA,NA,NA,NA,anonymous,EN,No,47,Yes,89,Yes,95,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,13
2018-02-07T16:30:33Z,2018-02-07 16:32:17,IP Address,100,104,True,2018-02-07 16:32:18,NA,NA,NA,NA,anonymous,EN,No,15,Yes,64,Yes,99,heavy,L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,14
2018-02-07T16:35:57Z,2018-02-07 16:37:18,IP Address,100,81,True,2018-02-07 16:37:19,NA,NA,NA,NA,anonymous,EN,Yes,90,Yes,98,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,15
2018-02-07T16:54:17Z,2018-02-07 16:55:57,IP Address,100,100,True,2018-02-07 16:55:58,NA,NA,NA,NA,anonymous,EN,No,39,Yes,60,Yes,97,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,16
2018-02-07T14:58:41Z,2018-02-07 14:59:33,IP Address,100,52,True,2018-02-07 14:59:34,NA,NA,NA,NA,anonymous,EN,Yes,95,Yes,85,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,17
2018-02-07T16:50:53Z,2018-02-07 16:52:00,IP Address,100,67,True,2018-02-07 16:52:01,NA,NA,NA,NA,anonymous,EN,No,16,No,14,No,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,18
2018-02-07T15:11:21Z,2018-02-07 15:13:31,IP Address,100,129,True,2018-02-07 15:13:32,NA,NA,NA,NA,anonymous,EN,Yes,10,Yes,100,Yes,99,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,19
2018-02-07T15:33:32Z,2018-02-07 15:34:58,IP Address,100,86,True,2018-02-07 15:34:58,NA,NA,NA,NA,anonymous,EN,Yes,70,Yes,75,Yes,81,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,20
2018-02-07T15:24:53Z,2018-02-07 15:25:51,IP Address,100,57,True,2018-02-07 15:25:51,NA,NA,NA,NA,anonymous,EN,Yes,85,Yes,49,Yes,98,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,21
2018-02-07T15:01:41Z,2018-02-07 15:03:31,IP Address,100,110,True,2018-02-07 15:03:32,NA,NA,NA,NA,anonymous,EN,No,10,Yes,25,Yes,85,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,22
2018-02-07T16:32:14Z,2018-02-07 16:34:39,IP Address,100,145,True,2018-02-07 16:34:40,NA,NA,NA,NA,anonymous,EN,Yes,70,Yes,63,Yes,84,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,23
2018-02-07T14:58:37Z,2018-02-07 14:59:37,IP Address,100,59,True,2018-02-07 14:59:37,NA,NA,NA,NA,anonymous,EN,Yes,67,Yes,50,Yes,80,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,24
2018-02-07T15:23:19Z,2018-02-07 15:24:15,IP Address,100,55,True,2018-02-07 15:24:15,NA,NA,NA,NA,anonymous,EN,Yes,58,No,2,Yes,0,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,25
2018-02-07T16:37:17Z,2018-02-07 16:38:25,IP Address,100,67,True,2018-02-07 16:38:25,NA,NA,NA,NA,anonymous,EN,No,20,Yes,70,Yes,95,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,26
2018-02-07T14:59:17Z,2018-02-07 15:00:06,IP Address,100,49,True,2018-02-07 15:00:06,NA,NA,NA,NA,anonymous,EN,Yes,60,Yes,59,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,27
2018-02-07T17:01:41Z,2018-02-07 17:03:16,IP Address,100,94,True,2018-02-07 17:03:16,NA,NA,NA,NA,anonymous,EN,Yes,70,No,80,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,28
2018-02-07T15:27:09Z,2018-02-07 15:28:34,IP Address,100,84,True,2018-02-07 15:28:36,NA,NA,NA,NA,anonymous,EN,Yes,44,Yes,50,Yes,80,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,29
2018-02-07T15:05:20Z,2018-02-07 15:09:21,IP Address,100,240,True,2018-02-07 15:09:21,NA,NA,NA,NA,anonymous,EN,Yes,62,Yes,85,Yes,87,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,30
2018-02-07T15:02:58Z,2018-02-07 15:04:26,IP Address,100,88,True,2018-02-07 15:04:26,NA,NA,NA,NA,anonymous,EN,Yes,65,No,35,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,31
2018-02-07T16:33:38Z,2018-02-07 16:35:39,IP Address,100,120,True,2018-02-07 16:35:39,NA,NA,NA,NA,anonymous,EN,No,40,Yes,100,Yes,90,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,32
2018-02-07T15:05:06Z,2018-02-07 15:06:17,IP Address,100,70,True,2018-02-07 15:06:17,NA,NA,NA,NA,anonymous,EN,Yes,60,Yes,72,Yes,90,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,33
2018-02-07T14:59:39Z,2018-02-07 15:00:31,IP Address,100,52,True,2018-02-07 15:00:31,NA,NA,NA,NA,anonymous,EN,Yes,37,Yes,73,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,34
2018-02-07T15:01:58Z,2018-02-07 15:04:47,IP Address,100,169,True,2018-02-07 15:04:48,NA,NA,NA,NA,anonymous,EN,Yes,50,Yes,90,Yes,95,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,35
2018-02-07T16:09:01Z,2018-02-07 16:10:21,IP Address,100,79,True,2018-02-07 16:10:22,NA,NA,NA,NA,anonymous,EN,Yes,40,No,20,Yes,88,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,36
2018-02-07T15:13:19Z,2018-02-07 15:14:35,IP Address,100,76,True,2018-02-07 15:14:36,NA,NA,NA,NA,anonymous,EN,Yes,80,No,25,Yes,90,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,37
2018-02-07T15:18:24Z,2018-02-07 15:19:08,IP Address,100,44,True,2018-02-07 15:19:09,NA,NA,NA,NA,anonymous,EN,Yes,40,Yes,42,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,38
2018-02-07T15:26:26Z,2018-02-07 15:27:50,IP Address,100,83,True,2018-02-07 15:27:51,NA,NA,NA,NA,anonymous,EN,Yes,35,Yes,75,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,39
2018-02-07T16:11:05Z,2018-02-07 16:12:29,IP Address,100,83,True,2018-02-07 16:12:29,NA,NA,NA,NA,anonymous,EN,No,25,Yes,90,Yes,90,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,40
2018-02-07T15:28:24Z,2018-02-07 15:29:53,IP Address,100,89,True,2018-02-07 15:29:53,NA,NA,NA,NA,anonymous,EN,No,15,Yes,30,Yes,86,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,41
2018-02-07T16:12:29Z,2018-02-07 16:13:54,IP Address,100,84,True,2018-02-07 16:13:54,NA,NA,NA,NA,anonymous,EN,No,10,Yes,95,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,42
2018-02-07T15:53:06Z,2018-02-07 15:54:03,IP Address,100,57,True,2018-02-07 15:54:03,NA,NA,NA,NA,anonymous,EN,No,20,Yes,85,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,43
2018-02-07T15:01:01Z,2018-02-07 15:01:48,IP Address,100,46,True,2018-02-07 15:01:49,NA,NA,NA,NA,anonymous,EN,No,28,Yes,91,Yes,95,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,44
2018-02-07T15:00:08Z,2018-02-07 15:01:22,IP Address,100,73,True,2018-02-07 15:01:22,NA,NA,NA,NA,anonymous,EN,No,25,Yes,44,Yes,73,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,45
2018-02-07T15:57:49Z,2018-02-07 15:58:43,IP Address,100,54,True,2018-02-07 15:58:44,NA,NA,NA,NA,anonymous,EN,No,10,Yes,88,Yes,95,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,46
2018-02-07T16:42:36Z,2018-02-07 16:43:23,IP Address,100,46,True,2018-02-07 16:43:23,NA,NA,NA,NA,anonymous,EN,Yes,80,Yes,26,Yes,7,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,47
2018-02-07T16:53:25Z,2018-02-07 16:54:58,IP Address,100,92,True,2018-02-07 16:54:58,NA,NA,NA,NA,anonymous,EN,Yes,80,Yes,95,Yes,100,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,48
2018-02-07T15:38:18Z,2018-02-07 15:39:33,IP Address,100,74,True,2018-02-07 15:39:33,NA,NA,NA,NA,anonymous,EN,No,25,Yes,80,Yes,90,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,49
2018-02-07T15:09:52Z,2018-02-07 15:13:11,IP Address,100,199,True,2018-02-07 15:13:11,NA,NA,NA,NA,anonymous,EN,No,5,Yes,45,Yes,94,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,50
2018-02-07T15:15:14Z,2018-02-07 15:15:59,IP Address,100,44,True,2018-02-07 15:15:59,NA,NA,NA,NA,anonymous,EN,Yes,60,Yes,70,Yes,90,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,51
2018-02-07T15:21:57Z,2018-02-07 15:23:38,IP Address,100,100,True,2018-02-07 15:23:38,NA,NA,NA,NA,anonymous,EN,Yes,74,Yes,84,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,52
2018-02-07T15:16:26Z,2018-02-07 15:17:10,IP Address,100,44,True,2018-02-07 15:17:11,NA,NA,NA,NA,anonymous,EN,No,18,No,45,Yes,99,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,53
2018-02-07T16:39:38Z,2018-02-07 16:40:40,IP Address,100,62,True,2018-02-07 16:40:41,NA,NA,NA,NA,anonymous,EN,No,66,Yes,83,Yes,100,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,54
2018-02-07T16:20:16Z,2018-02-07 16:21:00,IP Address,100,44,True,2018-02-07 16:21:01,NA,NA,NA,NA,anonymous,EN,No,1,Yes,85,Yes,98,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,55
2018-02-07T15:00:24Z,2018-02-07 15:01:33,IP Address,100,68,True,2018-02-07 15:01:33,NA,NA,NA,NA,anonymous,EN,Yes,90,No,45,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,56
2018-02-07T16:54:10Z,2018-02-07 16:55:30,IP Address,100,79,True,2018-02-07 16:55:30,NA,NA,NA,NA,anonymous,EN,No,20,No,11,Yes,90,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,57
2018-02-07T16:02:27Z,2018-02-07 16:03:27,IP Address,100,60,True,2018-02-07 16:03:28,NA,NA,NA,NA,anonymous,EN,Yes,85,Yes,50,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,58
2018-02-07T16:20:46Z,2018-02-07 16:21:53,IP Address,100,67,True,2018-02-07 16:21:54,NA,NA,NA,NA,anonymous,EN,No,5,Yes,50,Yes,98,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,59
2018-02-07T15:28:46Z,2018-02-07 15:35:39,IP Address,100,413,True,2018-02-07 15:35:39,NA,NA,NA,NA,anonymous,EN,Yes,94,Yes,8,Yes,84,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,60
2018-02-07T15:18:33Z,2018-02-07 15:19:26,IP Address,100,52,True,2018-02-07 15:19:26,NA,NA,NA,NA,anonymous,EN,No,20,Yes,49,Yes,93,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,61
2018-02-07T15:09:55Z,2018-02-07 15:11:47,IP Address,100,111,True,2018-02-07 15:11:48,NA,NA,NA,NA,anonymous,EN,Yes,47,Yes,75,Yes,94,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,62
2018-02-07T15:03:46Z,2018-02-07 15:05:25,IP Address,100,99,True,2018-02-07 15:05:25,NA,NA,NA,NA,anonymous,EN,No,25,Yes,75,Yes,90,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,63
2018-02-07T15:41:30Z,2018-02-07 15:42:47,IP Address,100,76,True,2018-02-07 15:42:47,NA,NA,NA,NA,anonymous,EN,Yes,76,No,35,Yes,68,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,64
2018-02-07T16:42:28Z,2018-02-07 16:43:27,IP Address,100,59,True,2018-02-07 16:43:28,NA,NA,NA,NA,anonymous,EN,No,50,Yes,75,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,65
2018-02-07T15:13:38Z,2018-02-07 15:14:29,IP Address,100,50,True,2018-02-07 15:14:30,NA,NA,NA,NA,anonymous,EN,Yes,50,Yes,90,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,66
2018-02-07T14:58:48Z,2018-02-07 15:00:06,IP Address,100,78,True,2018-02-07 15:00:07,NA,NA,NA,NA,anonymous,EN,No,1,No,20,Yes,100,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,67
2018-02-07T15:36:31Z,2018-02-07 15:37:18,IP Address,100,47,True,2018-02-07 15:37:19,NA,NA,NA,NA,anonymous,EN,Yes,60,Yes,50,Yes,90,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,68
2018-02-07T15:21:54Z,2018-02-07 15:22:33,IP Address,100,38,True,2018-02-07 15:22:34,NA,NA,NA,NA,anonymous,EN,No,10,Yes,71,Yes,95,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,69
2018-02-07T14:58:23Z,2018-02-07 14:59:19,IP Address,100,55,True,2018-02-07 14:59:19,NA,NA,NA,NA,anonymous,EN,No,10,Yes,85,Yes,95,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,70
2018-02-07T15:13:18Z,2018-02-07 15:14:47,IP Address,100,89,True,2018-02-07 15:14:48,NA,NA,NA,NA,anonymous,EN,Yes,89,Yes,72,Yes,92,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,71
2018-02-07T15:05:22Z,2018-02-07 15:06:00,IP Address,100,38,True,2018-02-07 15:06:01,NA,NA,NA,NA,anonymous,EN,Yes,56,Yes,74,Yes,88,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,72
2018-02-07T15:15:01Z,2018-02-07 15:15:51,IP Address,100,50,True,2018-02-07 15:15:52,NA,NA,NA,NA,anonymous,EN,Yes,75,No,35,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,73
2018-02-07T14:59:02Z,2018-02-07 15:03:41,IP Address,100,279,True,2018-02-07 15:03:42,NA,NA,NA,NA,anonymous,EN,No,0,Yes,5,Yes,75,"friendly,tasty,heavy",L3M2H1,squirrels,friendly,rocks,heavy,pizzas,tasty,Squirrels,Rocks,Pizzas,74
2018-02-07T15:04:13Z,2018-02-07 15:05:03,IP Address,100,50,True,2018-02-07 15:05:04,NA,NA,NA,NA,anonymous,EN,Yes,67,Yes,87,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,75
2018-02-07T15:00:37Z,2018-02-07 15:01:11,IP Address,100,34,True,2018-02-07 15:01:12,NA,NA,NA,NA,anonymous,EN,Yes,71,Yes,84,Yes,81,"friendly,tasty",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,76
2018-02-07T14:58:42Z,2018-02-07 15:00:02,IP Address,100,79,True,2018-02-07 15:00:02,NA,NA,NA,NA,anonymous,EN,No,35,Yes,68,Yes,85,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,77
2018-02-07T15:13:35Z,2018-02-07 15:14:49,IP Address,100,74,True,2018-02-07 15:14:50,NA,NA,NA,NA,anonymous,EN,No,40,Yes,65,Yes,81,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,78
2018-02-07T14:58:45Z,2018-02-07 14:59:40,IP Address,100,54,True,2018-02-07 14:59:40,NA,NA,NA,NA,anonymous,EN,No,59,No,25,Yes,70,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,79
2018-02-07T15:04:10Z,2018-02-07 15:05:13,IP Address,100,63,True,2018-02-07 15:05:14,NA,NA,NA,NA,anonymous,EN,Yes,61,No,9,Yes,82,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,80
2018-02-07T15:10:55Z,2018-02-07 15:12:39,IP Address,100,104,True,2018-02-07 15:12:40,NA,NA,NA,NA,anonymous,EN,Yes,65,Yes,56,Yes,99,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,81
2018-02-07T15:12:10Z,2018-02-07 15:13:02,IP Address,100,52,True,2018-02-07 15:13:03,NA,NA,NA,NA,anonymous,EN,No,35,Yes,70,Yes,80,"friendly,tasty,heavy",L2M1H3,bikes,heavy,fruits,tasty,puppies,friendly,Bikes,Fruits,Puppies,82
2018-02-07T16:31:08Z,2018-02-07 16:34:30,IP Address,100,202,True,2018-02-07 16:34:31,NA,NA,NA,NA,anonymous,EN,No,22,No,19,Yes,62,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,83
2018-02-07T15:01:31Z,2018-02-07 15:02:33,IP Address,100,61,True,2018-02-07 15:02:33,NA,NA,NA,NA,anonymous,EN,Yes,60,Yes,10,Yes,75,"friendly,tasty,heavy",L1M2H3,vegetables,tasty,rocks,heavy,puppies,friendly,Vegetables,Rocks,Puppies,84
2018-02-07T15:33:39Z,2018-02-07 15:34:48,IP Address,100,69,True,2018-02-07 15:34:49,NA,NA,NA,NA,anonymous,EN,Yes,90,Yes,95,Yes,70,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,85
2018-02-07T15:20:28Z,2018-02-07 15:21:17,IP Address,100,48,True,2018-02-07 15:21:17,NA,NA,NA,NA,anonymous,EN,No,33,No,48,Yes,95,"friendly,tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,86
2018-02-07T14:58:19Z,2018-02-07 14:59:15,IP Address,100,56,True,2018-02-07 14:59:16,NA,NA,NA,NA,anonymous,EN,Yes,89,Yes,96,Yes,85,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,87
2018-02-07T15:11:03Z,2018-02-07 15:11:41,IP Address,100,38,True,2018-02-07 15:11:42,NA,NA,NA,NA,anonymous,EN,Yes,65,No,67,Yes,94,"tasty,heavy",L2M3H1,bikes,heavy,goats,friendly,pizzas,tasty,Bikes,Goats,Pizzas,88
2018-02-07T14:58:37Z,2018-02-07 14:59:31,IP Address,100,54,True,2018-02-07 14:59:31,NA,NA,NA,NA,anonymous,EN,No,5,Yes,70,Yes,100,"friendly,tasty,heavy",L3M1H2,squirrels,friendly,fruits,tasty,trucks,heavy,Squirrels,Fruits,Trucks,89
2018-02-07T15:00:17Z,2018-02-07 15:01:16,IP Address,100,59,True,2018-02-07 15:01:17,NA,NA,NA,NA,anonymous,EN,Yes,75,Yes,60,Yes,100,"friendly,tasty,heavy",L1M3H2,vegetables,tasty,goats,friendly,trucks,heavy,Vegetables,Goats,Trucks,90
